"search-number","evaluation","number-of-leaves*","wind-factor*","temperature*","rain-intensity*","sun-intensity*","start-sugar-mean*","start-sugar-stddev*","leaf-display-mode*","fitness","num-replicates","best-fitness-so-far"
"1","87","1578","2","22","21","89","70","18","""chlorophyll""","0","3","1349.3333333333333"
"1","90","1737","10","17","25","20","68","35","""attachedness""","0","3","1349.3333333333333"
"1","93","377","2","21","13","20","100","45","""solid""","0","3","1349.3333333333333"
"1","96","1370","4","15","18","50","98","40","""solid""","5.333333333333333","3","1349.3333333333333"
"1","99","401","1","20","23","84","75","50","""solid""","1.6666666666666667","3","1349.3333333333333"
"1","102","245","10","14","4","94","77","1","""water""","0","3","1349.3333333333333"
"1","105","1414","1","27","14","17","15","36","""chlorophyll""","0","3","1349.3333333333333"
"1","108","1887","2","5","0","63","2","16","""attachedness""","0","3","1349.3333333333333"
"1","111","1805","9","7","23","83","99","41","""solid""","0","3","1349.3333333333333"
"1","114","1409","7","8","15","34","67","15","""solid""","0","3","1349.3333333333333"
"1","117","2067","0","16","24","95","70","4","""solid""","2006.3333333333333","3","2006.3333333333333"
"1","120","1156","10","12","0","90","48","27","""attachedness""","0","3","2006.3333333333333"
"1","123","1328","10","36","22","82","62","13","""anthocyanin""","0","3","2006.3333333333333"
"1","126","1151","7","11","1","11","47","16","""solid""","0","3","2006.3333333333333"
"1","129","1067","0","15","12","52","39","16","""anthocyanin""","54.666666666666664","3","2006.3333333333333"
"1","132","46","9","27","16","34","32","0","""solid""","0","3","2006.3333333333333"
"1","135","557","1","33","12","53","14","15","""attachedness""","0","3","2006.3333333333333"
"1","138","231","1","19","12","70","36","15","""water""","8.666666666666666","3","2006.3333333333333"
"1","141","1097","7","32","22","67","81","18","""solid""","0","3","2006.3333333333333"
"1","144","305","0","16","11","57","82","24","""water""","19","3","2006.3333333333333"
"1","147","985","5","8","23","92","8","45","""sugar""","0","3","2006.3333333333333"
"1","150","563","9","26","28","34","37","47","""carotene""","0","3","2006.3333333333333"
"1","153","953","9","39","13","30","61","17","""solid""","0","3","2006.3333333333333"
"1","156","704","0","4","5","69","90","0","""carotene""","664.3333333333334","3","2006.3333333333333"
"1","159","46","9","27","0","26","69","14","""sugar""","0","3","2006.3333333333333"
"1","162","2461","4","23","20","93","32","0","""solid""","0","3","2006.3333333333333"
"1","165","2065","3","16","24","95","70","4","""solid""","0","3","2006.3333333333333"
"1","168","307","0","14","10","57","82","24","""water""","29.666666666666668","3","2006.3333333333333"
"1","171","2067","0","16","24","95","37","16","""anthocyanin""","2065","3","2065"
"1","174","1748","4","20","2","59","89","4","""solid""","975.3333333333334","3","2065"
"1","177","202","1","27","14","50","19","46","""chlorophyll""","193.33333333333334","3","2065"
"1","180","1932","2","32","13","16","15","35","""chlorophyll""","0","3","2065"
"1","183","1328","10","36","9","57","82","24","""water""","0","3","2065"
"1","186","306","0","7","20","82","62","13","""water""","306","3","2065"
"1","189","1937","5","29","22","15","49","7","""water""","0","3","2065"
"1","192","1152","3","6","16","90","88","48","""water""","0","3","2065"
"1","195","820","0","14","0","0","24","13","""anthocyanin""","820","3","2065"
"1","198","231","1","19","12","70","36","48","""chlorophyll""","9.333333333333334","3","2065"
"1","201","307","0","16","11","57","82","24","""water""","19.666666666666668","3","2065"
"1","204","1065","0","15","12","52","39","16","""anthocyanin""","58","3","2065"
"1","207","2292","9","7","23","83","28","41","""solid""","0","3","2065"
"1","210","1748","7","20","2","52","37","23","""water""","0","3","2065"
"1","213","820","0","39","0","30","0","46","""carotene""","0","3","2065"
"1","216","1576","0","14","0","0","24","13","""chlorophyll""","1576","3","2065"
"1","219","2096","4","2","5","98","84","49","""carotene""","0","3","2065"
"1","222","1018","7","30","21","0","99","38","""carotene""","0","3","2065"
"1","225","820","0","14","0","0","24","29","""attachedness""","819.6666666666666","3","2065"
"1","228","1574","1","21","20","80","84","8","""chlorophyll""","268.6666666666667","3","2065"
"1","231","401","1","20","23","84","75","39","""attachedness""","3.6666666666666665","3","2065"
"1","234","1772","6","31","0","26","82","50","""solid""","0","3","2065"
"1","237","1370","2","32","13","51","19","46","""attachedness""","10.333333333333334","3","2065"
"1","240","1932","2","15","18","53","98","40","""solid""","8.333333333333334","3","2065"
"1","243","820","0","14","0","0","24","50","""water""","817","3","2065"
"1","246","218","1","19","12","70","36","15","""chlorophyll""","9","3","2065"
"1","249","2300","3","7","11","52","46","46","""anthocyanin""","0","3","2065"
"1","252","1668","9","34","16","86","87","30","""carotene""","0","3","2065"
"1","255","1097","7","32","22","67","80","18","""solid""","0","3","2065"
"1","258","1805","9","7","20","83","96","12","""solid""","0","3","2065"
"1","261","381","9","34","8","52","46","46","""anthocyanin""","0","3","2065"
"1","264","1873","6","20","23","84","5","50","""solid""","0","3","2065"
"1","267","628","9","26","28","37","37","47","""carotene""","0","3","2065"
"1","270","887","1","32","26","79","81","29","""solid""","0.6666666666666666","3","2065"
"1","273","245","9","14","4","94","77","1","""water""","0","3","2065"
"1","276","401","4","20","2","59","89","4","""carotene""","205","3","2065"
"1","279","1748","1","20","23","84","75","39","""attachedness""","5.333333333333333","3","2065"
"1","282","820","0","32","26","79","81","26","""solid""","135.66666666666666","3","2065"
"1","285","887","1","14","0","0","24","29","""attachedness""","0","3","2065"
"1","288","2461","4","23","4","98","84","49","""carotene""","0","3","2065"
"1","291","2129","4","2","5","27","69","14","""sugar""","0","3","2065"
"1","294","1568","6","31","1","26","82","50","""solid""","0","3","2065"
"1","297","2067","4","20","2","59","0","4","""solid""","1138","3","2065"
"1","300","820","0","14","0","0","24","50","""solid""","816","3","2065"
"1","303","2461","4","23","20","93","32","12","""anthocyanin""","0","3","2065"
"1","306","972","7","21","20","80","84","26","""attachedness""","0","3","2065"
"1","309","219","1","37","0","0","39","14","""anthocyanin""","0","3","2065"
"1","312","820","0","21","20","80","84","29","""attachedness""","820","3","2065"
"1","315","1574","1","14","0","0","24","13","""anthocyanin""","0","3","2065"
"1","318","1370","2","32","13","51","19","33","""carotene""","10.666666666666666","3","2065"
"1","321","1018","7","33","26","0","99","41","""attachedness""","0","3","2065"
"1","324","816","9","14","16","90","24","29","""attachedness""","0","3","2065"
"1","327","2464","4","23","4","27","69","14","""sugar""","1399.6666666666667","3","2065"
"1","330","1748","4","20","2","59","37","23","""chlorophyll""","1014.3333333333334","3","2065"
"1","333","218","1","19","12","65","36","15","""anthocyanin""","9","3","2065"
"1","336","2067","0","16","24","95","80","31","""attachedness""","1964.3333333333333","3","2065"
"1","339","1585","1","21","20","80","84","26","""anthocyanin""","245.66666666666666","3","2065"
"1","342","1574","1","21","4","27","69","14","""sugar""","1557.3333333333333","3","2065"
"1","345","2461","4","23","20","80","84","26","""attachedness""","0","3","2065"
"1","348","307","0","14","10","57","22","16","""anthocyanin""","66.33333333333333","3","2065"
"1","351","2158","0","16","24","95","97","24","""water""","2006","3","2065"
"1","354","1370","4","15","12","52","39","16","""anthocyanin""","4","3","2065"
"1","357","1065","4","32","13","48","19","46","""attachedness""","10.666666666666666","3","2065"
"1","360","640","9","26","28","37","37","44","""carotene""","0","3","2065"
"1","363","2453","4","23","4","27","58","9","""sugar""","1378","3","2065"
"1","366","2451","4","20","2","59","37","8","""anthocyanin""","1368.6666666666667","3","2065"
"1","369","1748","4","20","2","4","37","23","""anthocyanin""","0","3","2065"
"1","372","401","1","4","24","95","26","16","""anthocyanin""","0","3","2065"
"1","375","2067","0","16","23","84","75","39","""attachedness""","1621","3","2065"
"1","378","820","0","37","0","99","1","46","""carotene""","0","3","2065"
"1","381","318","0","14","10","57","82","24","""water""","32.666666666666664","3","2065"
"1","384","270","0","16","11","57","82","24","""water""","16.333333333333332","3","2065"
"1","387","1748","4","19","2","36","37","23","""anthocyanin""","0","3","2065"
"1","390","1574","6","21","20","80","84","8","""chlorophyll""","0","3","2065"
"1","393","704","0","4","5","66","90","0","""carotene""","664.3333333333334","3","2065"
"1","396","306","0","7","19","82","62","50","""water""","295.6666666666667","3","2065"
"1","399","381","9","36","8","52","46","46","""anthocyanin""","0","3","2065"
"1","402","820","0","14","0","0","24","45","""water""","817","3","2065"
"1","405","1748","4","20","2","59","34","23","""anthocyanin""","991.6666666666666","3","2065"
"1","408","1743","0","7","20","82","62","13","""water""","1742.6666666666667","3","2065"
